time_s,pos_x_m,pos_y_m,pos_z_m,pitch_rad,alpha_rad,cg_body_x_m,cg_body_y_m,cg_body_z_m,nozzle_angle_rad,thrust_normalized,thrust_N,cp_from_nose_m,Fg_x_N,Fg_z_N,F_aero_x_N,F_aero_z_N,NormalForceAero_N,AxialForceAero_N,Drag_N,Lift_N
0,0,0,-0,1.5707963267949,0,4.017813,0,0,0,0.863869593523551,23842.80078125,1.3055092,-18442.948474325,1.12930489079609e-12,-0,0,0,-0,0,0
0.0166666666666667,1.1682568242707e-19,0,0.00056028438226443,1.5707963267949,1.72820906766747e-16,4.017753,0,0,-5.13017424450272e-24,0.863869602692921,23842.8010343246,1.3055092,-18441.3113544435,1.12920464611495e-12,-0.000118582061559414,3.69829259538611e-19,3.69829259538611e-19,-0.000118582061559414,0.000118582061559414,3.69829259538611e-19
0.0333333333333333,4.49665462316912e-19,0,0.00192054436024422,1.5707963267949,1.8925616535172e-16,4.017694,0,0,-4.0056098608815e-23,0.863869624954342,23842.8016487398,1.3055092,-18439.6750291099,1.12910445008584e-12,-0.000397859165611311,1.28133467460844e-18,1.28133467460844e-18,-0.000397859165611311,0.000397859165611311,1.28133467460844e-18
0.05,9.98481190916387e-19,0,0.0040801073918607,1.5707963267949,1.95402403545793e-16,4.017634,0,0,-1.0522467375745e-22,0.863869660296802,23842.8026241917,1.3055092,-18438.0382995622,1.12900422930576e-12,-0.000841324277548361,2.75507938425597e-18,2.75507938425597e-18,-0.000841324277548361,0.000841324277548361,2.75507938425597e-18
0.0666666666666667,1.76329465457533e-18,0,0.0070392962631619,1.5707963267949,1.98604237228772e-16,4.017575,0,0,-1.88480337406743e-22,0.863869708725576,23842.8039608259,1.3055092,-18436.4015653888,1.12890400824243e-12,-0.00144910521799336,4.78059919936519e-18,4.78059919936519e-18,-0.00144910521799336,0.00144910521799336,4.78059919936519e-18
0.0833333333333333,2.74412248402395e-18,0,0.0107984145929267,1.5707963267949,2.00559518916292e-16,4.017516,0,0,-2.97069759870442e-22,0.86386977024562,23842.8056587791,1.3055092,-18434.7648265892,1.12880378689583e-12,-0.00222132577754849,7.34240382022727e-18,7.34240382022727e-18,-0.00222132577754849,0.00222132577754849,7.34240382022727e-18
0.1,3.94098392807753e-18,0,0.0153577757389683,1.5707963267949,2.01871160569972e-16,4.017457,0,0,-4.3245822522952e-22,0.863869844862049,23842.8077181926,1.3055092,-18433.1280831628,1.12870356526592e-12,-0.00315811162948057,1.04591333101871e-17,1.04591333101871e-17,-0.00315811162948057,0.00315811162948057,1.04591333101871e-17
0.116666666666667,5.35390084750789e-18,0,0.0207177027408742,1.5707963267949,2.02807247122592e-16,4.017397,0,0,-5.91559054396641e-22,0.863869932580134,23842.8101392117,1.3055092,-18431.4913351089,1.12860334335266e-12,-0.00425959043867854,1.41598059557549e-17,1.41598059557549e-17,-0.00425959043867854,0.00425959043867854,1.41598059557549e-17
0.133333333333333,6.98288994822976e-18,0,0.0268784994976088,1.5707963267949,2.03505146410714e-16,4.017338,0,0,-7.74947514409356e-22,0.863870033404826,23842.8129219732,1.3055092,-18429.8549820162,1.1285031456238e-12,-0.00552588554544033,1.84047279899685e-17,1.84047279899685e-17,-0.00552588554544033,0.00552588554544033,1.84047279899685e-17
0.15,8.82797055949306e-18,0,0.0338404795817828,1.5707963267949,2.04042508287595e-16,4.017279,0,0,-9.823204227623e-22,0.863870147341234,23842.8160666181,1.3055092,-18428.2178251167,1.12840289867597e-12,-0.00695712255451021,2.32578779190547e-17,2.32578779190547e-17,-0.00695712255451021,0.00695712255451021,2.32578779190547e-17
